date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:51:39	836/836	---M--	200	added ('OK')	text/plain	etag:%225a78fa70-344%22	http://houxiaoqi.xyz/robots.txt		(from )
10:51:39	60573/60573	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Aug%202020%2002:51:40%20GMT	http://houxiaoqi.xyz/	D:/My%20Websites/2/houxiaoqi.xyz/index.html	(from )
10:51:40	67646/67646	---M--	200	added ('OK')	image/x-icon	etag:%225f3c92aa-1083e%22	http://houxiaoqi.xyz/templates/shaper_helixultimate/images/favicon.ico	D:/My%20Websites/2/houxiaoqi.xyz/templates/shaper_helixultimate/images/favicon.ico	(from http://houxiaoqi.xyz/)
10:51:40	140375/140375	---MCZ	200	added ('OK')	text/css	etag:W/%225e9fe352-22457%22	http://houxiaoqi.xyz/templates/shaper_helixultimate/css/bootstrap.min.css	D:/My%20Websites/2/houxiaoqi.xyz/templates/shaper_helixultimate/css/bootstrap.min.css	(from http://houxiaoqi.xyz/)
10:51:40	56156/56156	---MCZ	200	added ('OK')	text/css	etag:W/%225e9fe352-db5c%22	http://houxiaoqi.xyz/templates/shaper_helixultimate/css/font-awesome.min.css	D:/My%20Websites/2/houxiaoqi.xyz/templates/shaper_helixultimate/css/font-awesome.min.css	(from http://houxiaoqi.xyz/)
10:51:40	17433/17433	---MCZ	200	added ('OK')	text/css	etag:W/%225e9fe352-4419%22	http://houxiaoqi.xyz/templates/shaper_helixultimate/css/fa-v4-shims.css	D:/My%20Websites/2/houxiaoqi.xyz/templates/shaper_helixultimate/css/fa-v4-shims.css	(from http://houxiaoqi.xyz/)
10:51:40	42858/42858	---MCZ	200	added ('OK')	text/css	etag:W/%225f39e6be-a76a%22	http://houxiaoqi.xyz/templates/shaper_helixultimate/css/template.css	D:/My%20Websites/2/houxiaoqi.xyz/templates/shaper_helixultimate/css/template.css	(from http://houxiaoqi.xyz/)
10:51:41	4232/4232	---MCZ	200	added ('OK')	text/css	etag:W/%225f39e6be-1088%22	http://houxiaoqi.xyz/templates/shaper_helixultimate/css/presets/default.css	D:/My%20Websites/2/houxiaoqi.xyz/templates/shaper_helixultimate/css/presets/default.css	(from http://houxiaoqi.xyz/)
10:51:41	12929/12929	---MCZ	200	added ('OK')	text/css	etag:W/%225c667c38-3281%22	http://houxiaoqi.xyz/templates/shaper_helixultimate/css/custom.css	D:/My%20Websites/2/houxiaoqi.xyz/templates/shaper_helixultimate/css/custom.css	(from http://houxiaoqi.xyz/)
10:51:43	97646/97646	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f0d665e-17d6e%22	http://houxiaoqi.xyz/media/jui/js/jquery.min.js?a80c6fb8ce2da2357b1b7fd47f092243	D:/My%20Websites/2/houxiaoqi.xyz/media/jui/js/jquery.mince1e.js	(from http://houxiaoqi.xyz/)
10:51:43	21/21	---M--	200	added ('OK')	application/javascript	etag:%225f0d665e-15%22	http://houxiaoqi.xyz/media/jui/js/jquery-noconflict.js?a80c6fb8ce2da2357b1b7fd47f092243	D:/My%20Websites/2/houxiaoqi.xyz/media/jui/js/jquery-noconflictce1e.js	(from http://houxiaoqi.xyz/)
10:51:43	10056/10056	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f0d665e-2748%22	http://houxiaoqi.xyz/media/jui/js/jquery-migrate.min.js?a80c6fb8ce2da2357b1b7fd47f092243	D:/My%20Websites/2/houxiaoqi.xyz/media/jui/js/jquery-migrate.mince1e.js	(from http://houxiaoqi.xyz/)
10:51:43	19196/19196	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e9fe354-4afc%22	http://houxiaoqi.xyz/templates/shaper_helixultimate/js/popper.min.js	D:/My%20Websites/2/houxiaoqi.xyz/templates/shaper_helixultimate/js/popper.min.js	(from http://houxiaoqi.xyz/)
10:51:44	50634/50634	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e9fe354-c5ca%22	http://houxiaoqi.xyz/templates/shaper_helixultimate/js/bootstrap.min.js	D:/My%20Websites/2/houxiaoqi.xyz/templates/shaper_helixultimate/js/bootstrap.min.js	(from http://houxiaoqi.xyz/)
10:51:44	7083/7083	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e9fe354-1bab%22	http://houxiaoqi.xyz/templates/shaper_helixultimate/js/main.js	D:/My%20Websites/2/houxiaoqi.xyz/templates/shaper_helixultimate/js/main.js	(from http://houxiaoqi.xyz/)
10:51:44	8808/8808	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f0d665e-2268%22	http://houxiaoqi.xyz/media/system/js/core.js?a80c6fb8ce2da2357b1b7fd47f092243	D:/My%20Websites/2/houxiaoqi.xyz/media/system/js/corece1e.js	(from http://houxiaoqi.xyz/)
10:51:45	3971/3971	---M--	200	added ('OK')	image/png	etag:%225f39ed58-f83%22	http://houxiaoqi.xyz/images/joomla.png	D:/My%20Websites/2/houxiaoqi.xyz/images/joomla.png	(from http://houxiaoqi.xyz/)
10:51:47	256891/256891	---M--	200	added ('OK')	image/png	etag:%225e662c10-3eb7b%22	https://pagefactory.joomla.work/images/pagefactory/demo/images/2019/kindergarten/hero-bg.png	D:/My%20Websites/2/pagefactory.joomla.work/images/pagefactory/demo/images/2019/kindergarten/hero-bg.png	(from http://houxiaoqi.xyz/)
10:51:48	3729/3729	---M--	200	added ('OK')	image/png	etag:%225e662c14-e91%22	https://pagefactory.joomla.work/images/pagefactory/demo/images/2019/kindergarten/bg-rain.png	D:/My%20Websites/2/pagefactory.joomla.work/images/pagefactory/demo/images/2019/kindergarten/bg-rain.png	(from http://houxiaoqi.xyz/)
10:51:49	8652/8652	---M--	200	added ('OK')	image/png	etag:%225e662c1e-21cc%22	https://pagefactory.joomla.work/images/pagefactory/demo/images/2019/kindergarten/bg-number.png	D:/My%20Websites/2/pagefactory.joomla.work/images/pagefactory/demo/images/2019/kindergarten/bg-number.png	(from http://houxiaoqi.xyz/)
10:51:50	6476/6476	---M--	200	added ('OK')	image/png	etag:%225e662c20-194c%22	https://pagefactory.joomla.work/images/pagefactory/demo/images/2019/kindergarten/bg-rainbow.png	D:/My%20Websites/2/pagefactory.joomla.work/images/pagefactory/demo/images/2019/kindergarten/bg-rainbow.png	(from http://houxiaoqi.xyz/)
10:51:52	479402/479402	---M--	200	added ('OK')	image/png	etag:%225f39f087-750aa%22	http://houxiaoqi.xyz/images/%e4%ba%8c%e6%ac%a1%e5%85%83%e8%af%81%e4%bb%b6%e7%85%a7.png	D:/My%20Websites/2/houxiaoqi.xyz/images/%e4%ba%8c%e6%ac%a1%e5%85%83%e8%af%81%e4%bb%b6%e7%85%a7.png	(from http://houxiaoqi.xyz/)
10:51:54	239974/239974	---M--	200	added ('OK')	image/jpeg	etag:%225f3c8271-3a966%22	http://houxiaoqi.xyz/images/pagefactory/media/images/2020/08/19/8__3200x1824.jpg	D:/My%20Websites/2/houxiaoqi.xyz/images/pagefactory/media/images/2020/08/19/8__3200x1824.jpg	(from http://houxiaoqi.xyz/)
10:51:54	118011/118011	---M--	200	added ('OK')	image/jpeg	etag:%225f3c8f2c-1ccfb%22	http://houxiaoqi.xyz/images/pagefactory/media/images/2020/08/19/-69070e80b6abb582__1920x1920.jpg	D:/My%20Websites/2/houxiaoqi.xyz/images/pagefactory/media/images/2020/08/19/-69070e80b6abb582__1920x1920.jpg	(from http://houxiaoqi.xyz/)
10:51:57	185658/185658	---M--	200	added ('OK')	image/jpeg	etag:%225f3c8f2e-2d53a%22	http://houxiaoqi.xyz/images/pagefactory/media/images/2020/08/19/78151565e7a91878__1080x1080.jpg	D:/My%20Websites/2/houxiaoqi.xyz/images/pagefactory/media/images/2020/08/19/78151565e7a91878__1080x1080.jpg	(from http://houxiaoqi.xyz/)
10:51:57	200128/200128	---M--	200	added ('OK')	image/jpeg	etag:%225f3c8f2b-30dc0%22	http://houxiaoqi.xyz/images/pagefactory/media/images/2020/08/19/6835c9933df1f1b1__1920x1920.jpg	D:/My%20Websites/2/houxiaoqi.xyz/images/pagefactory/media/images/2020/08/19/6835c9933df1f1b1__1920x1920.jpg	(from http://houxiaoqi.xyz/)
10:52:00	192822/192822	---M--	200	added ('OK')	image/jpeg	etag:%225f3c8f29-2f136%22	http://houxiaoqi.xyz/images/pagefactory/media/images/2020/08/19/-4712d08cefd2a53b__1072x1072.jpg	D:/My%20Websites/2/houxiaoqi.xyz/images/pagefactory/media/images/2020/08/19/-4712d08cefd2a53b__1072x1072.jpg	(from http://houxiaoqi.xyz/)
10:52:00	159268/159268	---M--	200	added ('OK')	image/jpeg	etag:%225f3c8f27-26e24%22	http://houxiaoqi.xyz/images/pagefactory/media/images/2020/08/19/28e851c8a6aed544__1920x1920.jpg	D:/My%20Websites/2/houxiaoqi.xyz/images/pagefactory/media/images/2020/08/19/28e851c8a6aed544__1920x1920.jpg	(from http://houxiaoqi.xyz/)
10:52:02	88428/88428	---M--	200	added ('OK')	font/woff	etag:%225e9fe352-1596c%22	http://houxiaoqi.xyz/templates/shaper_helixultimate/fonts/fa-brands-400.woff	D:/My%20Websites/2/houxiaoqi.xyz/templates/shaper_helixultimate/fonts/fa-brands-400.woff	(from http://houxiaoqi.xyz/templates/shaper_helixultimate/css/font-awesome.min.css)
10:52:02	160272/160272	---M--	200	added ('OK')	image/jpeg	etag:%225f3c8f26-27210%22	http://houxiaoqi.xyz/images/pagefactory/media/images/2020/08/19/-18fdced100a2be85__1044x1044.jpg	D:/My%20Websites/2/houxiaoqi.xyz/images/pagefactory/media/images/2020/08/19/-18fdced100a2be85__1044x1044.jpg	(from http://houxiaoqi.xyz/)
10:52:03	16804/16804	---M--	200	added ('OK')	font/woff	etag:%225e9fe352-41a4%22	http://houxiaoqi.xyz/templates/shaper_helixultimate/fonts/fa-regular-400.woff	D:/My%20Websites/2/houxiaoqi.xyz/templates/shaper_helixultimate/fonts/fa-regular-400.woff	(from http://houxiaoqi.xyz/templates/shaper_helixultimate/css/font-awesome.min.css)
10:52:03	34096/34096	---M--	200	added ('OK')	application/octet-stream	etag:%225e9fe352-8530%22	http://houxiaoqi.xyz/templates/shaper_helixultimate/fonts/fa-regular-400.ttf	D:/My%20Websites/2/houxiaoqi.xyz/templates/shaper_helixultimate/fonts/fa-regular-400.ttf	(from http://houxiaoqi.xyz/templates/shaper_helixultimate/css/font-awesome.min.css)
10:52:04	130600/130600	---M--	200	added ('OK')	application/octet-stream	etag:%225e9fe352-1fe28%22	http://houxiaoqi.xyz/templates/shaper_helixultimate/fonts/fa-brands-400.ttf	D:/My%20Websites/2/houxiaoqi.xyz/templates/shaper_helixultimate/fonts/fa-brands-400.ttf	(from http://houxiaoqi.xyz/templates/shaper_helixultimate/css/font-awesome.min.css)
10:52:05	98384/98384	---M--	200	added ('OK')	font/woff	etag:%225e9fe352-18050%22	http://houxiaoqi.xyz/templates/shaper_helixultimate/fonts/fa-solid-900.woff	D:/My%20Websites/2/houxiaoqi.xyz/templates/shaper_helixultimate/fonts/fa-solid-900.woff	(from http://houxiaoqi.xyz/templates/shaper_helixultimate/css/font-awesome.min.css)
10:52:06	192472/192472	---M--	200	added ('OK')	application/octet-stream	etag:%225e9fe352-2efd8%22	http://houxiaoqi.xyz/templates/shaper_helixultimate/fonts/fa-solid-900.ttf	D:/My%20Websites/2/houxiaoqi.xyz/templates/shaper_helixultimate/fonts/fa-solid-900.ttf	(from http://houxiaoqi.xyz/templates/shaper_helixultimate/css/font-awesome.min.css)
10:52:22	3973176/3973176	---M--	200	added ('OK')	application/octet-stream	etag:%225f3b3382-3ca038%22	http://houxiaoqi.xyz/fonts/wenyi.ttf	D:/My%20Websites/2/houxiaoqi.xyz/fonts/wenyi.ttf	(from http://houxiaoqi.xyz/)
10:52:57	12517500/12517500	---M--	200	added ('OK')	application/octet-stream	etag:%225f3c83dd-bf007c%22	http://houxiaoqi.xyz/fonts/zhunyuan.ttf	D:/My%20Websites/2/houxiaoqi.xyz/fonts/zhunyuan.ttf	(from http://houxiaoqi.xyz/)
